CUSTOMER_ID,PREDICTED_DATE,PREDICTED_QUANTITY,MAPE,PREDICTION_MODEL,FORECAST_GENERATION_DATETIME
18,2026-05-01,11797675.550833065,1161.96,Prophet,2025-06-05 10:43:45
19,2025-06-01,20942734.234125443,39.57,ARIMA,2025-06-05 10:43:45
19,2025-07-01,22708700.211231776,39.57,ARIMA,2025-06-05 10:43:45
19,2025-08-01,22871647.5333757,39.57,ARIMA,2025-06-05 10:43:45
19,2025-09-01,23340929.48744265,39.57,ARIMA,2025-06-05 10:43:45
19,2025-10-01,23556404.745780535,39.57,ARIMA,2025-06-05 10:43:45
19,2025-11-01,23746369.761664227,39.57,ARIMA,2025-06-05 10:43:45
19,2025-12-01,23868096.370004293,39.57,ARIMA,2025-06-05 10:43:45
19,2026-01-01,23958071.593731396,39.57,ARIMA,2025-06-05 10:43:45
19,2026-02-01,24020265.114325173,39.57,ARIMA,2025-06-05 10:43:45
19,2026-03-01,24064601.425201975,39.57,ARIMA,2025-06-05 10:43:45
19,2026-04-01,24095758.28611899,39.57,ARIMA,2025-06-05 10:43:45
19,2026-05-01,24117798.925451957,39.57,ARIMA,2025-06-05 10:43:45
20,2025-06-01,36354256.95867846,97.41,ARIMA,2025-06-05 10:43:45
20,2025-07-01,42125901.48382712,97.41,ARIMA,2025-06-05 10:43:45
20,2025-08-01,45220009.60733017,97.41,ARIMA,2025-06-05 10:43:45
20,2025-09-01,39188898.97232411,97.41,ARIMA,2025-06-05 10:43:45
20,2025-10-01,32503341.905576475,97.41,ARIMA,2025-06-05 10:43:45
20,2025-11-01,45500667.6022813,97.41,ARIMA,2025-06-05 10:43:45
20,2025-12-01,43155668.6589806,97.41,ARIMA,2025-06-05 10:43:45
20,2026-01-01,44835306.36027634,97.41,ARIMA,2025-06-05 10:43:45
20,2026-02-01,46499659.37127666,97.41,ARIMA,2025-06-05 10:43:45
20,2026-03-01,38728280.868083194,97.41,ARIMA,2025-06-05 10:43:45
20,2026-04-01,30769682.14587879,97.41,ARIMA,2025-06-05 10:43:45
20,2026-05-01,44754605.48054561,97.41,ARIMA,2025-06-05 10:43:45
21,2025-06-01,20491741.300594676,83.62,ARIMA,2025-06-05 10:43:45
21,2025-07-01,20469073.20064335,83.62,ARIMA,2025-06-05 10:43:45
21,2025-08-01,20465287.877094537,83.62,ARIMA,2025-06-05 10:43:45
21,2025-09-01,20472257.67149375,83.62,ARIMA,2025-06-05 10:43:45
21,2025-10-01,20483924.68520953,83.62,ARIMA,2025-06-05 10:43:45
21,2025-11-01,20496293.282557506,83.62,ARIMA,2025-06-05 10:43:45
21,2025-12-01,20507103.21812999,83.62,ARIMA,2025-06-05 10:43:45
21,2026-01-01,20515382.049342256,83.62,ARIMA,2025-06-05 10:43:45
21,2026-02-01,20521002.649140995,83.62,ARIMA,2025-06-05 10:43:45
21,2026-03-01,20524312.73295496,83.62,ARIMA,2025-06-05 10:43:45
21,2026-04-01,20525861.138948653,83.62,ARIMA,2025-06-05 10:43:45
21,2026-05-01,20526219.02963093,83.62,ARIMA,2025-06-05 10:43:45
